,hu_aq_finfishaquaculture_opennetpens_d,hu_aq_shellfishaquaculture_beachseeding_d,hu_aq_shellfishaquaculture_offbottom_d,hu_co_demersalfishing_bottomlongline_d,hu_co_demersalfishing_bottomtrawling_d,hu_co_demersalfishing_shrimptrawling_d,hu_co_demersalfishing_pressurehose_d,hu_co_demersalfishing_inverttrapcom_d_CRAB,hu_co_demersalfishing_inverttrapcom_d_PRAWN,hu_co_demersalfishing_sabletrapcom_d,hu_co_intertidalhandpickingdigging_intertidalhandpickdigcom_d,hu_co_pelagicfishing_gillnetscom_d_HERRING,hu_co_pelagicfishing_gillnetscom_d_SALMON,hu_co_pelagicfishing_pelagicandmidwatertrawls_d,hu_co_pelagicfishing_purseseine_d_HERRING,hu_co_pelagicfishing_purseseine_d_SALMON,hu_co_pelagicfishing_salmontrollcom_d,hu_co_pelagicfishing_trollingrodandreelcomTUNA_d,hu_co_scubadivefishing_scubadivefishingcom_d_GSU,hu_co_scubadivefishing_scubadivefishingcom_d_RSU,hu_rf_demersalfishing_hookandlinerec_d,hu_rf_demersalfishing_traprec_d_CRAB,hu_rf_demersalfishing_traprec_d_PRAWN,hu_rf_intertidalhandpickingdigging_intertidalhandpickdigrec_d,hu_rf_pelagicfishing_trollingrodandreelrec_d,hu_rf_scubadivefishing_scubadivefishingrec_d_ALL,hu_rf_scubadivefishing_scubadivefishingrec_d_RSU,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,hu_ma_tidalcurrent_tidalstream_d,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,hu_ot_dischargesanddisposal_pulpandpapermills_d,hu_ot_dischargesanddisposal_sewageeffluentfromterrestrial_d,hu_ot_dischargesanddisposal_terrestrialminerunoff_d,hu_ot_dredging_dredging_d,hu_ot_underwaterinfrastructure_seafloorelectricalcommscables_d,hu_ot_underwaterinfrastructure_seafloorpipelinesfortransoil_d,hu_tr_largevesselscargoandcruiseships_largevesselscargo_d,hu_ih_indigenousharvest_foodsocialceremonial
S2_NC_321,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_NC_330,X,X,X,O,na,na,O,O,O,O,O,X,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_331,X,X,X,O,na,na,O,O,O,O,X,X,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X
S2_NC_332,X,X,X,X,na,na,O,X,X,X,O,O,O,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
S2_NC_333,X,X,X,X,na,na,O,X,X,X,O,O,O,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_340,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_341,X,O,O,X,na,na,O,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_342,X,O,O,X,na,na,O,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_344,X,O,O,X,na,na,O,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_345,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_346,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_347,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_348,X,X,X,X,na,na,O,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
S2_NC_350,X,X,X,O,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
S2_NC_351,X,X,X,O,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_352,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_353,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_354,X,X,X,O,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_355,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_356,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_357,X,X,X,O,na,O,O,O,O,O,O,O,O,O,O,O,O,na,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_358,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,na,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NC_360,na,na,na,X,na,na,na,X,X,X,na,X,X,X,na,na,X,O,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,O,X
S2_NC_361,na,na,na,X,X,na,na,X,X,X,na,X,X,X,na,na,X,O,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,X,X
S2_HG_400,X,X,X,na,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
S2_HG_401,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
S2_HG_402,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_403,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_404,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_410,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
S2_HG_411,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_412,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_413,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_414,X,X,X,X,na,na,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_415,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_416,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_420,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
S2_HG_421,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_422,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_423,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_424,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O
S2_HG_430,X,X,X,O,na,na,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_431,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_432,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_433,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_434,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X
S2_HG_435,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_436,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_437,X,O,X,X,na,na,O,X,X,X,O,X,X,O,O,O,O,O,O,O,O,X,X,na,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_438,X,O,O,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_HG_439,na,na,na,X,X,na,na,X,X,X,na,X,X,X,O,O,O,O,na,na,X,X,X,na,O,na,na,na,X,X,X,X,X,X,X,X,O,X
S2_HG_440,X,X,X,X,X,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_441,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_442,X,X,X,X,na,na,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_443,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_444,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
S2_HG_445,X,X,X,X,na,na,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_446,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
S2_HG_447,X,na,na,na,na,na,na,na,na,na,na,X,X,na,X,X,X,X,na,na,na,na,na,na,X,na,na,na,O,X,X,O,X,X,X,X,X,O
S2_HG_450,X,X,X,O,X,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
S2_HG_451,X,O,O,X,na,na,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X
S2_HG_452,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
S2_HG_453,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
S2_HG_454,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_455,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_456,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_460,X,O,O,O,X,na,O,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
S2_HG_461,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
S2_HG_462,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
S2_HG_463,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_470,X,O,O,O,na,na,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_HG_471,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_472,X,O,O,O,na,na,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_HG_473,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_474,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_475,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_476,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_477,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_480,X,O,O,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_HG_481,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
S2_HG_482,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_483,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
S2_HG_484,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,na,X,X,X,X,X,X,X,X,X,O
S2_HG_485,X,O,O,O,na,na,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_HG_486,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_487,X,X,X,X,na,na,O,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
S2_HG_488,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_489,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_490,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
S2_HG_491,X,X,X,X,na,na,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_HG_492,X,X,X,X,na,na,X,X,X,X,na,X,X,O,O,O,O,O,X,X,X,X,X,na,O,X,X,na,X,X,X,X,X,X,X,X,X,X
S2_HG_493,X,O,O,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_HG_494,X,X,X,X,na,na,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
S2_HG_495,na,na,na,X,na,na,na,X,X,X,na,X,X,O,O,O,O,O,na,na,X,X,X,na,O,na,na,na,X,X,X,X,X,X,X,X,X,X
S2_HG_496,na,na,na,X,na,na,na,X,X,X,na,X,X,X,X,X,X,X,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,X,O
S2_HG_500,na,na,na,X,X,X,na,X,X,X,na,X,X,X,X,X,X,X,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,O,O
S2_HG_501,na,na,na,X,na,na,na,X,X,X,na,X,X,X,X,X,X,X,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,X,O
S2_HG_502,na,na,na,X,X,na,na,X,X,X,na,X,X,X,X,X,X,X,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,O,O
S2_HG_503,na,na,na,X,X,na,na,X,X,X,na,X,X,X,X,X,X,X,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,O,O
S2_HG_504,na,na,na,X,na,na,na,X,X,X,na,X,X,X,X,X,X,O,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,O,X
S2_HG_505,na,na,na,X,X,na,na,X,X,X,na,X,X,X,X,X,X,O,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,O,X
S2_HG_506,na,na,na,X,X,na,na,X,X,X,na,X,X,X,na,na,X,X,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,O,O
S2_HG_510,na,na,na,X,X,na,na,X,X,X,na,X,X,X,na,na,X,O,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,O,X
S2_HG_511,na,na,na,X,X,na,na,X,X,X,na,X,X,X,na,na,X,O,na,na,X,X,X,na,X,na,na,na,X,X,X,X,X,X,X,X,O,X
S2_NVI_600,X,X,X,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_601,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_602,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
S2_NVI_603,X,X,X,O,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X
S2_NVI_604,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
S2_NVI_605,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_606,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X
S2_NVI_607,X,X,X,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X
S2_NVI_608,X,X,X,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_609,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
S2_NVI_610,X,X,X,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_611,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
S2_NVI_612,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,O,X,O,O,O,X,O,X,O,X
S2_NVI_613,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,O,X,O,O,O,X,O,X,O,X
S2_NVI_614,X,X,X,O,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
S2_NVI_615,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_616,X,X,X,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_617,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_618,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X
S2_NVI_619,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_620,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_621,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
S2_NVI_622,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
S2_NVI_623,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_624,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
S2_NVI_625,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_626,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
S2_NVI_627,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_628,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_629,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_630,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_631,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_632,X,X,X,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_633,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_634,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_635,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
S2_NVI_636,X,X,X,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_637,X,X,X,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X
S2_NVI_638,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
S2_NVI_639,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
S2_NVI_640,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X
S2_NVI_641,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X
S2_NVI_642,X,X,X,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
S2_NVI_643,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X
S2_NVI_644,X,X,X,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
S2_NVI_645,X,X,X,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
S2_NVI_646,X,X,X,O,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_647,X,X,X,O,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
S2_NVI_648,O,O,O,X,na,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_649,X,X,X,O,na,na,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
