cp,section_region,area_overlap
eco_inverts_shrimphumpback_records_d,Dixon Entrance,67555861.40088816
eco_inverts_shrimphumpback_records_d,Hecate Strait,167413487.30891564
eco_inverts_shrimphumpback_records_d,Johnstone Strait,345798778.4968377
eco_inverts_shrimphumpback_records_d,North Coast Fjords,2247624921.272099
eco_inverts_shrimphumpback_records_d,Queen Charlotte Sound,103074412.48799722
eco_inverts_shrimphumpback_records_d,Queen Charlotte Strait,297226336.7498686
eco_inverts_shrimphumpback_records_d,Strait of Georgia,19007780.63656295
eco_inverts_shrimphumpback_records_d,Vancouver Island Shelf,15236284.720594957
eco_mammals_harbourporpoise_density_d,CC,2955.928304217564
eco_mammals_harbourporpoise_density_d,HG,5108.223211130728
eco_mammals_harbourporpoise_density_d,NC,3781.1735541055396
eco_mammals_harbourporpoise_density_d,NVI,3026.7308606663173
eco_mammals_harbourporpoise_density_d,Continental Slope,1428.7565921159896
eco_mammals_harbourporpoise_density_d,Dixon Entrance,840.3930407457827
eco_mammals_harbourporpoise_density_d,Hecate Strait,3392.8533032922733
eco_mammals_harbourporpoise_density_d,Johnstone Strait,370.53520157664764
eco_mammals_harbourporpoise_density_d,North Coast Fjords,3023.661375373575
eco_mammals_harbourporpoise_density_d,Queen Charlotte Sound,4458.006980286392
eco_mammals_harbourporpoise_density_d,Queen Charlotte Strait,1120.7590945145307
eco_mammals_harbourporpoise_density_d,Strait of Georgia,73.91547111897927
eco_mammals_harbourporpoise_density_d,Subarctic Pacific,9.704126928942904
eco_mammals_harbourporpoise_density_d,Transitional Pacific,0.0
eco_mammals_harbourporpoise_density_d,Vancouver Island Shelf,141.81604097549135
eco_mammals_harbourseal_haulouts_m,CC,22793128.477882676
eco_mammals_harbourseal_haulouts_m,HG,25297711.656204913
eco_mammals_harbourseal_haulouts_m,NC,34949123.81889969
eco_mammals_harbourseal_haulouts_m,NVI,27019182.076192517
eco_mammals_harbourseal_haulouts_m,Continental Slope,4748307.916202148
eco_mammals_harbourseal_haulouts_m,Dixon Entrance,12791041.068625178
eco_mammals_harbourseal_haulouts_m,Hecate Strait,16137762.42598894
eco_mammals_harbourseal_haulouts_m,Johnstone Strait,8687792.71305738
eco_mammals_harbourseal_haulouts_m,North Coast Fjords,35257832.73710618
eco_mammals_harbourseal_haulouts_m,Queen Charlotte Sound,16443506.409751654
eco_mammals_harbourseal_haulouts_m,Queen Charlotte Strait,11571391.718636278
eco_mammals_harbourseal_haulouts_m,Strait of Georgia,411171.75749408756
eco_mammals_harbourseal_haulouts_m,Vancouver Island Shelf,4010333.174798591
eco_plants_eelgrass_polygons_d,CC,20124472.59789873
eco_plants_eelgrass_polygons_d,HG,26192170.741315547
eco_plants_eelgrass_polygons_d,NC,17238940.947946154
eco_plants_eelgrass_polygons_d,NVI,30094768.18767427
eco_plants_eelgrass_polygons_d,Continental Slope,2269401.512799698
eco_plants_eelgrass_polygons_d,Dixon Entrance,15078379.346541122
eco_plants_eelgrass_polygons_d,Hecate Strait,11976547.735153435
eco_plants_eelgrass_polygons_d,Johnstone Strait,14716523.926053802
eco_plants_eelgrass_polygons_d,North Coast Fjords,32293464.03355347
eco_plants_eelgrass_polygons_d,Queen Charlotte Sound,8624828.203429537
eco_plants_eelgrass_polygons_d,Queen Charlotte Strait,8620176.793339659
eco_plants_eelgrass_polygons_d,Strait of Georgia,1805822.3133703945
eco_plants_eelgrass_polygons_d,Vancouver Island Shelf,12442882.74793613
eco_reptiles_leatherbackturtle_ia_d,CC,3970677660.839468
eco_reptiles_leatherbackturtle_ia_d,HG,24427123263.174076
eco_reptiles_leatherbackturtle_ia_d,NVI,6842479220.737286
eco_reptiles_leatherbackturtle_ia_d,Continental Slope,19748324615.419556
eco_reptiles_leatherbackturtle_ia_d,Dixon Entrance,2744798509.69484
eco_reptiles_leatherbackturtle_ia_d,Hecate Strait,2670116708.534926
eco_reptiles_leatherbackturtle_ia_d,Queen Charlotte Sound,3696787246.511861
eco_reptiles_leatherbackturtle_ia_d,Subarctic Pacific,1522120942.3430884
eco_reptiles_leatherbackturtle_ia_d,Transitional Pacific,2037137947.7730181
eco_reptiles_leatherbackturtle_ia_d,Vancouver Island Shelf,2765106444.419294
eco_coarse_ecosections_polygons_d,CC,22083113384.076344
eco_coarse_ecosections_polygons_d,HG,45917314926.99283
eco_coarse_ecosections_polygons_d,NC,19471103023.53703
eco_coarse_ecosections_polygons_d,NVI,13889480190.98866
eco_coarse_ecosections_polygons_d,Continental Slope,35684292966.45616
