UID,name,subregion,ecosection,CP,proportion_scaled,proportion_unscaled,value_scaled,value_unscaled,total_value,Gridded_UID,Desktop_UID,marxancode,section,speciesgroup,species,featuretype,featuretype for SS,attributetype,datatype,featurename for SS analysis,final_target_low,final_target_med,final_target_high,Issue,Tracked,species name,postremoval,Replication method,Replication_All species_areas,Replication_All species_Seabirds,Replication_All species_fish,Replication_All species_invertebrates,Replication_All species_plants and algae,Replication_All species_marine mammals_reptiles,Replication_Habitat classes_Biophysical units,Replication_Habitat classes_Bottom patches,Replication_Habitat classes_Ecosections,Replication_Habitat classes_Geomorphic units,Replication_Habitat classes_Ocean regions,Replication_Habitat classes_EBSAs,Conservation_concern_features,Habitat_feature_count_metric,Species_feature_count_metric,Ecological Intactness_upper predator,Ecological Intactness_mammals,Ecological Intactness_forage species,Ecological Intactness_habitat forming,Ecological Intactness_Bird species,Ecological Intactness_nutrient exchangers,significant_area_feature_count ,scaled_updated_2020Sep3
S2_CC_122,pmz_058_CC_SC2CC,CC,North Coast Fjords,eco_plants_bullkelp_polygons_d,0.0004676865600241,0.0004676865600241,51640.07843931458,51640.07843931458,110415998.348656,eco_plants_bullkelp_polygons_d,eco_plants_bullkelp_polygons_d,4020100,eco,plants,bullkelp,polygons,Distribution,,d,Bull Kelp,0.2,0.3,0.4,,,Bull Kelp,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_CC_122,pmz_058_CC_SC2CC,CC,North Coast Fjords,eco_coarse_ecosections_polygons_d,7.448967656153195e-05,7.448967656153195e-05,45460637.21789588,45460637.21789588,610294463828.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_CC_122,pmz_058_CC_SC2CC,CC,Queen Charlotte Sound,eco_plants_eelgrass_polygons_d,0.0057513728847003,0.0067663210408239,621062.3253974145,730661.5592910759,107985056.411409,eco_plants_eelgrass_polygons_d,eco_plants_eelgrass_polygons_d,4040100,eco,plants,eelgrass,polygons,Distribution,,d,Eelgrass,0.2,0.3,0.4,,,Eelgrass,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_CC_122,pmz_058_CC_SC2CC,CC,Queen Charlotte Sound,eco_plants_bullkelp_polygons_d,6.244545677366335e-06,6.244545677366335e-06,689.4977452001882,689.4977452001882,110415998.348656,eco_plants_bullkelp_polygons_d,eco_plants_bullkelp_polygons_d,4020100,eco,plants,bullkelp,polygons,Distribution,,d,Bull Kelp,0.2,0.3,0.4,,,Bull Kelp,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_CC_122,pmz_058_CC_SC2CC,CC,Queen Charlotte Sound,eco_coarse_ecosections_polygons_d,1.9272385716821385e-05,1.9272385716821385e-05,11761830.30774804,11761830.30774804,610294463828.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,North Coast Fjords,eco_plants_eelgrass_polygons_d,0.0114681168810884,0.0114681168810884,1238385.248336971,1238385.248336971,107985056.411409,eco_plants_eelgrass_polygons_d,eco_plants_eelgrass_polygons_d,4040100,eco,plants,eelgrass,polygons,Distribution,,d,Eelgrass,0.2,0.3,0.4,,,Eelgrass,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,North Coast Fjords,eco_plants_bullkelp_polygons_d,0.0007061473587099,0.0007061473587099,77969.96559322265,77969.96559322265,110415998.348656,eco_plants_bullkelp_polygons_d,eco_plants_bullkelp_polygons_d,4020100,eco,plants,bullkelp,polygons,Distribution,,d,Bull Kelp,0.2,0.3,0.4,,,Bull Kelp,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,North Coast Fjords,eco_coarse_ecosections_polygons_d,2.7676047297464624e-05,2.7676047297464624e-05,16890538.446304828,16890538.446304828,610294463828.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,Queen Charlotte Sound,eco_plants_eelgrass_polygons_d,0.0277663705702624,0.0277663705702624,2998353.0923698824,2998353.0923698824,107985056.411409,eco_plants_eelgrass_polygons_d,eco_plants_eelgrass_polygons_d,4040100,eco,plants,eelgrass,polygons,Distribution,,d,Eelgrass,0.2,0.3,0.4,,,Eelgrass,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,Queen Charlotte Sound,eco_plants_bullkelp_polygons_d,0.1035362360480032,0.1035362360480032,11432056.868502388,11432056.868502388,110415998.348656,eco_plants_bullkelp_polygons_d,eco_plants_bullkelp_polygons_d,4020100,eco,plants,bullkelp,polygons,Distribution,,d,Bull Kelp,0.2,0.3,0.4,,,Bull Kelp,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,Queen Charlotte Sound,eco_coarse_ecosections_polygons_d,0.0005126952918846,0.0005126952918846,312895098.2682353,312895098.2682353,610294463828.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
